Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_7,SMA_25,EMA_12,EMA_26,MACD,RSI,BB_upper,BB_lower,BB_middle,Stoch_K,Stoch_D,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_5,Close_lag_10,Close_future_1d
2024-07-22 00:00:00+00:00,68152.9765625,68480.0625,66611.296875,67585.25,42649109453,0.0,0.0,66114.79799107143,61285.12546875,64461.54332669519,62909.116369297895,1030.4938652399942,66.9272913362396,69517.26976544614,52818.86343767887,61168.0666015625,92.64327299073537,95.90833521753454,68154.5234375,67163.6484375,66710.15625,64118.79296875,57899.46484375,65927.671875
2024-07-23 00:00:00+00:00,67584.8046875,67779.015625,65484.4609375,65927.671875,35605668666,0.0,0.0,66233.44419642857,61509.426875,64687.10156489593,63132.713073423976,825.9643194517238,59.80152714256327,70041.27917609907,52870.22902702594,61455.7541015625,78.53309551742865,89.87408371226782,67585.25,68154.5234375,67163.6484375,63974.06640625,59231.953125,65372.1328125
2024-07-24 00:00:00+00:00,65927.859375,67113.984375,65146.99609375,65372.1328125,27470942309,0.0,0.0,66412.49274553571,61688.81703125,64792.49098760425,63298.59601705924,612.3766388198279,57.58848772142976,70364.50336534019,53386.44780653481,61875.4755859375,73.86072919770643,81.67903256862348,65927.671875,67585.25,68154.5234375,66710.15625,60787.79296875,65777.2265625
2024-07-25 00:00:00+00:00,65375.875,66112.421875,63473.47265625,65777.2265625,38315761670,0.0,0.0,66670.08705357143,61812.774375,64943.98876835745,63482.19827968448,464.2177255582243,58.78618032234808,70628.34031829209,54034.09600983291,62331.2181640625,77.2677738532386,76.5538661894579,65372.1328125,65927.671875,67585.25,67163.6484375,64870.15234375,67912.0625
2024-07-26 00:00:00+00:00,65771.8125,68207.6015625,65743.765625,67912.0625,30488630457,0.0,0.0,66841.78794642857,62015.17765625,65400.61549630246,63810.33637007822,474.16509048759735,64.47914698214396,71232.0792253644,54391.209446510584,62811.6443359375,94.68345053595841,81.93731786230114,65777.2265625,65372.1328125,65927.671875,68154.5234375,65097.1484375,67813.3359375
2024-07-27 00:00:00+00:00,67911.8125,69398.5078125,66705.21875,67813.3359375,34691905492,0.0,0.0,66934.60044642857,62246.55046875,65771.80325648669,64106.85485655391,439.0674913569094,64.03860043691898,71458.47677041746,55361.23455770755,63409.8556640625,84.41824728896302,85.45649055938668,67912.0625,65777.2265625,65372.1328125,67585.25,64118.79296875,68255.8671875
2024-07-28 00:00:00+00:00,67808.65625,68301.8515625,67085.828125,68255.8671875,18043166945,0.0,0.0,66949.078125,62569.82828125,66153.96693818104,64414.18910329066,411.1175410516096,65.18678386626682,71678.43493458876,56296.35334666124,63987.394140625,86.8564978818776,88.65273190226634,67813.3359375,67912.0625,65777.2265625,65927.671875,63974.06640625,66819.9140625
2024-07-29 00:00:00+00:00,68259.0546875,69987.5390625,66532.59375,66819.9140625,40780682628,0.0,0.0,66839.74441964286,62963.51671875,66256.42034192242,64592.39095212098,268.29527677013675,58.64377362616589,71696.54342187247,57159.31360937753,64427.928515625,57.76258014782097,76.34577510622053,68255.8671875,67813.3359375,67912.0625,65372.1328125,66710.15625,66201.015625
2024-07-30 00:00:00+00:00,66819.0546875,66987.671875,65323.19140625,66201.015625,31380492109,0.0,0.0,66878.79352678571,63345.06234375,66247.89653931897,64711.5483352972,112.49127279237246,56.033249789995246,71469.54494987718,58232.16403449782,64850.8544921875,43.83158572991415,62.81688791987091,66819.9140625,68255.8671875,67813.3359375,65777.2265625,67163.6484375,64619.25
2024-07-31 00:00:00+00:00,66201.2734375,66810.2109375,64532.046875,64619.25,31292785994,0.0,0.0,66771.23883928571,63597.69078125,65997.3355332699,64704.71142157148,-104.98625562478605,49.91729548463952,70873.26402879959,59555.87854932542,65214.5712890625,20.3680397174167,40.65406853171728,66201.015625,66819.9140625,68255.8671875,67912.0625,68154.5234375,65357.5
