,mse,rmse,mae,r2
Linear_Regression,4266913.579448893,2065.650885180962,1611.7344258018522,0.8924864173795629
Ridge_Regression,4039661.651239966,2009.890955061982,1513.9279897470778,0.898212492797828
Lasso_Regression,4351957.296225961,2086.134534546121,1618.8069469311276,0.8903435676358751
Random_Forest,26113972.81693002,5110.183246903189,4224.142721139748,0.3420052406209081
Gradient_Boosting,34342518.869278096,5860.249044987601,4928.4779761252385,0.1346702549520724
SVR,393957661.75773084,19848.366727711647,18823.946216712135,-8.926566082881532
Neural_Network,1129679980.9802873,33610.71229504497,28465.05569501805,-27.464589148174166
